120.76175,21.59888,120.762,21.5989
119.63016,22.90039,119.63,22.9004
119.88284,23.21375,119.883,23.2138
119.90482,23.65727,119.905,23.6573
119.7949,23.808138,119.795,23.8081
119.41043,23.99897,119.41,23.999
119.26761,24.32975,119.268,24.3298
119.39945,24.59975,119.399,24.5998
119.8718,24.928959,119.872,24.929
120.2234,25.167833,120.223,25.1678
120.5749,25.574826,120.575,25.5748
120.99246,25.49552,120.992,25.4955
121.61868,25.74317,121.619,25.7432
122.04715,25.99031,122.047,25.9903
122.65140,25.34668,122.651,25.3467
122.22293,25.15788,122.223,25.1579
122.43167,24.84923,122.432,24.8492
122.58548,24.22960,122.585,24.2296
122.01419,23.99897,122.014,23.999
121.59671,23.28441,121.597,23.2844
121.26712,22.43405,121.267,22.434
121.01444,21.52736,121.014,21.5274
120.86063,21.38421,120.861,21.3842
120.86063,21.38421,120.861,21.3842
